material_type,strength_mpa,weight_capacity_kg,biodegradability_score,recyclability_pct,co2_emission_per_kg,cost_inr_per_kg
Corrugated Cardboard,25.993428306022466,29.585207096486446,8.388613122860416,96.09211943,0.5789261962748997,43.735660432474425
Corrugated Cardboard,28.158425631014783,32.302304187458724,7.718315368439029,92.17024017434386,0.5582924076468784,42.48505933072062
Corrugated Cardboard,25.48392454313207,24.260159266026605,6.9650493,87.75084988303611,0.5088451991699019,46.69693559601448
Corrugated Cardboard,23.183951848957577,25.763088895994127,8.879389261352932,89.09689479805385,0.6060775384219131,37.30635979444733
Corrugated Cardboard,23.911234550949636,30.33276777,7.309403853546618,91.50279207,0.5459425179073075,43.42485375
Corrugated Cardboard,23.796586775541208,35.55683455352681,7.991901665,85.76915628,0.6740290420892869,38.407444290156484
Corrugated Cardboard,25.41772719000951,24.120989628360675,7.203088370660942,90.78744494347649,0.6664619921995869,45.92538871842584
Corrugated Cardboard,24.768703435223518,29.096688913232132,7.112886805779544,87.12062316642117,0.5585425106136191,50.70846002158214
Corrugated Cardboard,25.687236579136922,24.71087953,8.194450381636877,88.45967087833473,0.5390770199724637,48.303051959740685
Corrugated Cardboard,27.06199904,32.79384035734859,7.496469486066417,88.76315049659515,0.6298137088263207,50.26794368646074
Corrugated Cardboard,24.04165152430942,29.44302307000855,7.336199015596383,85.21517350367732,0.6731273240154778,52.323696154282445
Corrugated Cardboard,24.855979756839332,33.01059869367607,8.216981615,87.41952098157951,0.6325256044957572,53.30539745891623
Corrugated Cardboard,24.928347921780098,34.69393096744202,6.4281529375461535,93.28761002,0.6078342361414354,43.38536030748432
Corrugated Cardboard,25.183521553071003,24.037293256197323,7.868196867297493,91.42845028604698,0.7330104640267364,42.201340821322304
Corrugated Cardboard,23.383012794213624,28.49472886924639,8.549241270621245,91.31500443863874,0.5523215816609665,47.77164413881212
Corrugated Cardboard,25.19415509869608,32.90593497159867,7.578768143673589,88.68935141360893,0.5647102662181058,37.09701928008656
Corrugated Cardboard,25.59224055412915,30.783165816539668,8.003068073985476,89.06165146649941,0.4726166332154627,42.72851525706706
Corrugated Cardboard,24.314570966946462,27.593168192335142,7.903228573000394,91.61620342725816,0.7697567311089477,45.94272018929193
Corrugated Cardboard,25.51510078144553,29.77666225,6.848737270820575,89.89394449820313,0.6054207188946924,58.301507407420544
Corrugated Cardboard,24.615278070437753,30.904642027000836,7.979172938176854,85.32528784952187,0.7028540533063519,49.06043837650858
Corrugated Cardboard,26.582063894086094,27.271837635615782,8.841676587,84.39259574883087,0.6528171384420243,56.82846037937388
Corrugated Cardboard,23.01892734973862,28.301106811191683,8.059790819052585,87.98609738353521,0.46044029120404806,45.37024006395255
Corrugated Cardboard,22.87539257254779,31.420777291905544,7.448345459459718,96.19973762007015,0.5295072036897386,43.26086781248935
Corrugated Cardboard,26.62703443473934,26.307407050698135,8.136475960762478,95.22857101712971,0.4553265088894895,45.99702283607444
Corrugated Cardboard,25.519765588496846,32.34546861533193,7.257829573473151,84.71817355,0.6469747409055208,46.60371723545921
Corrugated Cardboard,25.500985700691754,31.039344628490927,7.591985167052906,90.92901478864401,0.6263765225968813,41.142502342657615
Corrugated Cardboard,28.731549022289514,31.42149876273536,7.285217901678411,92.62621443453531,0.5122786496795411,49.25025686020924
Corrugated Cardboard,27.317191158014808,27.537953044944867,8.578025677546593,91.65112371,0.6739854143995041,55.242682106331316
Corrugated Cardboard,24.50922376799426,27.73879150692753,7.466291342224686,86.73675886013825,0.5930608461527306,46.84222066400988
Corrugated Cardboard,25.55338159866004,32.48154974710807,8.007801135126744,95.81413630862927,0.5761808850085839,59.68891349958394
Corrugated Cardboard,26.251334695530012,27.42852733075115,7.357464501163332,91.92988966097275,0.5798883493206733,48.85560267
Corrugated Cardboard,25.94647524914709,29.78151326202938,7.491923769158957,83.94061110125654,0.5598136543139681,49.62455348934675
Corrugated Cardboard,25.42818748826041,26.262783663864035,8.103908556,91.54126951891534,0.520452831,45.83011557210585
Corrugated Cardboard,25.11641744,26.571089106508133,8.214672416,92.24313810547294,0.6974746118857749,50.69053108098848
Corrugated Cardboard,22.244661264085817,27.18652488025463,8.309021160325196,92.05514380364883,0.6463542917675443,65.80475005
Corrugated Cardboard,26.141781021386333,33.40669692,8.572401058095922,92.60556501,0.5716257679823689,49.09843379066364
Corrugated Cardboard,23.454349570924855,29.289544179779973,7.708781871302538,90.32749655754529,0.8083192710006157,34.91676796000456
Corrugated Cardboard,26.372520380749027,25.161852386431043,7.716840881,94.35580238786946,0.6057852017185916,39.180178199181746
Corrugated Cardboard,23.569392581480063,32.038793246804026,7.561780020969718,90.86583436,0.6041014655913433,41.48135812292859
Corrugated Cardboard,29.28788817865065,31.901757066954033,6.784914448005436,90.74581725907771,0.5404392181708451,49.60314000789961
Corrugated Cardboard,23.414958523134597,29.655790675599302,8.302992367388274,93.46302077668048,0.4919733233649801,43.19369332645888
Corrugated Cardboard,24.050109377678087,28.040012302278864,9.059272544168659,91.61992684384383,0.4865204441098459,49.95645451409579
Corrugated Cardboard,29.244312394025265,33.09739578165344,7.088378020427592,88.06306371,0.714022003,41.17858488565859
Corrugated Cardboard,25.887638856292458,32.32390216028801,7.443841717,89.76189858,0.30828593939378346,39.46830673679484
Corrugated Cardboard,24.49486369721368,26.25665045410545,8.979446782,84.27943448815746,0.5603959961972714,45.705999117344895
Corrugated Cardboard,27.88254657813223,25.69241354646168,8.697898251292976,90.04093224407835,0.5116642214056843,47.49535876102166
Corrugated Cardboard,25.398119391146942,28.199349368523617,8.041881250994011,88.45874561255296,0.6102165610726124,48.57550564241365
Corrugated Cardboard,28.172033632290706,26.286553503519453,9.279820025,82.19164880190999,0.5863393414467974,48.176912915016715
Corrugated Cardboard,25.561983735470065,28.13190144053822,7.875126649785635,88.02799626136466,0.5469571718750209,49.58785132391353
Corrugated Cardboard,25.714030971930093,27.921271214218038,8.539759925,91.22919808350643,0.6731575906955064,48.39999575
Corrugated Cardboard,23.342009978155854,28.319456879409092,8.448376163073958,92.44148106173385,0.5981188565432266,45.63356786986742
Corrugated Cardboard,27.55532979157685,28.22528583349251,8.328258428702023,89.19122939026443,0.5804086917095501,50.933395000730826
Corrugated Cardboard,26.65083269797606,32.440528908001916,8.783287284292598,90.08401536653103,0.6613757674165467,43.32455951439534
Corrugated Cardboard,25.648332704976884,29.609570836896946,8.058197578995632,92.38062810174766,0.5263601385089874,56.29889128870148
Corrugated Cardboard,22.987965237000594,26.357434161636803,8.694866524100041,93.16665077585175,0.6561707835346939,48.39306575002711
Corrugated Cardboard,24.97550645430617,27.308236885542506,8.045482734916236,87.29135315395155,0.6877607760075976,44.20589013988845
Corrugated Cardboard,23.349005606414977,29.03584247504102,8.247758872565374,87.74510179,0.5260001643990212,46.31591094205633
Corrugated Cardboard,25.489933142217446,28.47917047388661,7.7173770166290065,90.92819974943055,0.4696724092652408,37.39969562
Corrugated Cardboard,23.563111557495127,29.35965854486446,8.186544539358803,95.90142486779821,0.6771893660881817,44.13633193819749
Corrugated Cardboard,24.96196758419462,26.992411906086573,7.988892118404566,88.84536544431944,0.62904467,40.532952904817456
Corrugated Cardboard,26.038693028482346,34.59821673900773,7.934743910925885,91.60684688839576,0.662112959,42.833409451816486
Corrugated Cardboard,25.448184963620832,30.037777202345385,8.058605659129299,86.90796086457813,0.6022059156833048,47.689190772725425
Corrugated Cardboard,27.902287215590082,32.87781247825562,9.291909474506934,86.93060974844781,0.678508857,45.99004683
Corrugated Cardboard,29.379605866435345,27.575105143934547,7.496166894691535,87.60242942,0.40884938481211736,42.16092288292389
Corrugated Cardboard,23.481734676892604,30.451181359428624,8.205053585466295,97.50468335686355,0.6855381454367445,41.88472025942303
Corrugated Cardboard,23.203170657303286,31.47575751451952,7.207860075787615,97.32583506341741,0.7061496108649158,42.466451478634596
Corrugated Cardboard,21.573730941818244,34.06161712249624,7.931276092848429,94.95126524789384,0.456501511,41.763374876049625
Corrugated Cardboard,25.010487399436368,30.140941781294227,7.729960717112454,92.49139973,0.5039141613555664,44.23115078088502
Corrugated Cardboard,25.24059126,31.543316502176246,8.426968926853334,85.50143163264852,0.461929725,51.89945483825195
Corrugated Cardboard,25.66462802395918,27.75454039033034,8.930691185313513,90.46269853717143,0.7061367465657443,45.36459979961459
Corrugated Cardboard,29.121495849763974,35.26602252732961,7.850621510912556,93.88628380381742,0.6580838354626632,52.39061041067468
Corrugated Cardboard,23.07015307883979,32.058154379995315,8.635054692109753,82.96504205430755,0.4935067338600802,33.98814624009546
Corrugated Cardboard,24.461186331110884,32.152626767387886,8.901414231257617,90.29637912,0.7465753991014162,37.54745212563959
Corrugated Cardboard,21.59323512128969,29.833356903310143,8.230439269363584,89.86922100762362,0.4139302109964111,44.51875178663094
Corrugated Cardboard,22.391060998990294,32.009017646490115,8.219958947658109,86.24048085469057,0.5537519774396975,39.280246981799664
Corrugated Cardboard,24.874641805453656,32.865426961503715,7.408564372198674,92.01618606207138,0.5522768143464803,40.71848670578334
Corrugated Cardboard,24.785939280090883,26.89427303274188,7.667810416791691,85.20848843,0.776825262,45.190423180647336
Corrugated Cardboard,23.60054898401483,30.641939732202665,7.932603170185502,89.1161216,0.6552750030039083,49.090541634255445
Corrugated Cardboard,23.938997704778945,28.27254527806596,7.834968981709014,80.79231534105766,0.4636328044021303,52.381121044200434
Corrugated Cardboard,28.28993542700257,29.252891881330864,8.345934178,91.24500061817415,0.8770992727609714,51.045704521746714
Corrugated Cardboard,24.744164817038467,27.133378678198724,7.036132207845457,90.81385454346889,0.5319284329244127,37.31982996817256
Corrugated Cardboard,23.706854231514946,26.755355989156815,9.012284981043539,93.52655903,0.5992824622815044,52.99169835000614
Corrugated Cardboard,25.154736615295235,27.41614739601521,8.913874446361794,92.15564017473864,0.5066478461106189,43.972171138348514
Corrugated Cardboard,23.248763493230484,25.85160080710699,8.555706528518986,97.63766656188052,0.47412891835627724,48.04003387812908
Corrugated Cardboard,23.698714861756347,28.53862384870591,7.644563645456678,86.54403692128074,0.6043669465150344,40.51286937
Corrugated Cardboard,25.540913651559677,29.849285671652588,7.856631171880154,86.36974535183361,0.54809058,49.07911261945908
Corrugated Cardboard,26.001834375248762,27.067334265604348,8.059599383257536,93.00554849348715,0.44975352469907653,47.934145038851646
Corrugated Cardboard,23.674752482108307,31.711796005779476,7.542044506,82.78047159734193,0.4535211805905154,45.25965871197146
Corrugated Cardboard,25.519445003442964,27.287050124686775,8.383155475266424,83.35391975092416,0.5940528181217415,38.46051252128274
Corrugated Cardboard,23.69632778439568,30.142196013949242,7.483751980829629,88.46177782,0.6905663528292996,41.884783904574995
